overall,verified,reviewTime,reviewerID,asin,reviewerName,reviewText,summary,unixReviewTime,vote,style,image
1.0,False,"07 25, 2010",A3NJY51IYDJX12,B000VNS9D6,KVoiles,"I am a big Lost fan, and was so pumped when this came out.  I'll keep this as concise as possible... whether you are a Lost fan or not, don't buy this game for any more than $5.  I can honestly say if I were not a Lost fan and just looking for an adventure game, or even thinking I am interested in getting into Lost, it does not possess the quality to stand on its own (or even with the Lost title boosting it) as a good game.

The gameplay was choppy, linear and convoluted. Any time you traveled into the forest you CONSTANTLY had to hide in the banyan trees to avoid the smoke monster.  This happened ALL THE TIME and also make you lose track of where you were, making any trip through the trees an extremely frustrating journey.  And how much fun is being on an island without really exploring the beach, the jungle, the various landmarks around the island at free will?

It's like you're put in a lush, enormous castle with 150 rooms, but you are only allowed to walk down the hallways, and once in a while, glance into a couple rooms along the way and wish you could go in there.

As far as the plot, I thought it was as original as they could make it, given the situation.  How do you introduce a new character on an island full of people all on the same plane?  At least it was somewhat convincing.  Add to that some Lost-worthy flashback action, and you almost have a game going here.

And just as it starts to come together (which is frustratingly quickly), the game ends.  With, I might add, an interesting and very Lost-like twist, but nothing makes up for how boring the game is.

Scenery and graphics, and (at least the attempt at) an original plot line, Lost: Via Domus gets a 5/5.  I do give props on the effort to replicate the scenery, again, something that was done splendidly and just added to my intense disappointment of failure in almost every OTHER aspect of the game.

But this game needed a LOT more to it, and if I were a part of the Lost team, I'd be embarrassed to have my name on this title.",Not fun for... anyone...,1280016000,,{'Platform:': ' Xbox 360'},
1.0,True,"01 31, 2010",A1ZJHI5U8J3ROV,B0010YI8IQ,R. Simon,"Save your money and get the eforcity ones instead.  They are better quality, I got the two dollar red ones and they are much nicer than these.  Just ordered a black one that eforcity charges ten dollars for (plus shipping).

Since the eforcity looks like it actually might be black (this one is actually more of a grey) and the red one I got was so much better I decided to scrap this function degrading eyesore.

Give it a miss.  The company ships quickly though...",Get the eforcity ones instead!!!,1264896000,,{'Color:': ' Black'},
1.0,False,"12 27, 2016",A39PZD704Y7ZVC,B01EZAA2ZI,Joe Orlando,This game sucks. Nuff said,Trash homie,1482796800,,"{'Edition:': ' Legacy', 'Platform:': ' PlayStation 4'}",
1.0,True,"07 4, 2017",A2901YDXL5PC35,B019H5II8Y,Jonathon,"I'm bewildered by the generally positive reviews for this controller... not only is the construction cheap and flimsy, but the USB wireless is completely unusable. The controller disconnects frequently and misses inputs, making playing any remotely precise game impossible. It's even a pain to navigate the menu in steam, and I was only playing from a distance of a few feet from the USB plug. If you're literally on top of your pc, the controller might work (either wireless or wired with the extremely short cable), but for couch gaming this is not usable.",I'm bewildered by the generally positive reviews for this controller ...,1499126400,2,{'Color:': ' With Bracket'},
1.0,False,"03 9, 2013",A7CULXYK2XW1B,B0050SY77E,Amazon Customer,"I have finished the ""Welcome to the Jungle"" level and since the beginning of the game I notice game breaking audio errors.  The audio stutters or cuts out during intense action.

EA has been alerted to this error as far back as Feb 20th and their only official response is to ""install the game to the HD"" which has been confirmed by multiple people (including myself) not to work.
The sad thing is that this glitch comes at the coolest part of the game's experience and instantly breaks the immersion process of a ""good game"".

Aside from the audio the game is more of the same as sequel to Crysis 2.
My main complaints are that enemies see you the second you de-cloak, despite distance.  The controls can be come complex taking away from the action when you have to stop and customize a weapon every few kills.  The game is fairly simple and does bring anything new to the franchise so far (other than a bow)

So far it appears to me that Crytek and EA are just trying to cash in on the franchise and the games engine as the game feels rushed and unimaginative.
Fix the audio issues 3/5.  As it currently stands 1/5.",Audio problems ruin the experience.,1362787200,10,{'Format:': ' Video Game'},
1.0,True,"06 4, 2014",A23XMI4T1ONDG4,B0182KOSVQ,DrJones,"Detected as an unidentified device.
Drivers supplied do not work.
Tested on Windows Vista, 7, and 8.1

No Drivers Available from Manufacturer online
Almost no information about device or manufacturer.

Chinese junk.",Garbage,1401840000,,,
1.0,False,"12 23, 2015",A3CTKESUSZF34X,B000GFV00S,Gabriel Arthur Petrie,"This is a complete fiasco. There are so many programming errors, glitches and problems that its not worth getting into all the details, but I'll at least mention that there is a more or less complete lack of real random number generation. Some of the games actually simply do not work at all. I only still have this in my collection as an example of the worst possible programming you can find on the PS2.",I only still have this in my collection as an example of the worst possible programming you can find on the PS2,1450828800,,{'Platform:': ' PlayStation2'},
1.0,False,"10 8, 2012",A36OBMV8233W8T,B00178630A,Alan Bouyssou,"Have been looking forward to this game for 20 years but after reading all the reviews, I've decided to skip Diablo 3. Mainly because of the online only thing. This is why I never buy games the day they come out. I just saved 60 bucks.",Won't buy it.,1349654400,6,{'Format:': ' Computer Game'},
1.0,False,"10 14, 2010",A21N15KBOVFXD6,B004774IPU,Kindle Customer,"What I like...
I played every civilization game that came out and this one is a major downgrade from the other games.
I am still trying to figure that one out....

What I hate this joke of a game....
Is this Civ 5 or just a ripoff with the same name? Oh Sid Meier what have they done with your creation!!???!!!
Who cares that the leaders are animated and speak their native tongue?
Game play is a time consuming joke waiting betweens turns mainly depends how many city states and other nations there are.
What happen to stacking units? How Can I protect my most vulnerable unit?
I hate going through steam to play a game? WHY STEAM!!!!!?????!!!!!  I cannot play this game  unless I connect it to the internet. Very idiotic! Very steam......

I honestly find playing the past civilization games are much more enjoyable than this cosmetic farce of a game.",Very disappointed!,1287014400,7,"{'Edition:': ' Standard', 'Platform:': ' PC'}",
1.0,True,"08 8, 2016",AEOE6HERE3QKX,B0017O5K0I,nugsterr,"Cables feel cheap and crappy. Picture quality is better than composite in terms of colors, but there's so much static and interference coming from these cables that it doesn't matter. I would not buy these again.",Tons of interference,1470614400,,,
1.0,False,"09 24, 2015",A1ZR8AIM298DFT,B0136JPBH8,Edward Nigma,This game is unfinished. I suggest a PS4 with PES,not finished,1443052800,,,
1.0,False,"12 15, 2014",AV8673FRD2ZB2,B00MEXP4UC,WK,Why did somebody think this would be a good idea....,"Horrible People.... Horrible game, just No.",1418601600,3,{'Format:': ' Video Game'},
1.0,False,"12 12, 2013",A11548ZOIDAELN,B00CRN9UWC,S P,"EA, we are disappointed with your cynically manipulative approach to customers. SimCity was badly broken and you have told us repeatedly that you have no plans to fix it - that large cities, for instance, are impossible. Not only have your statements been misleading on a technical level but they also underscore the essential laziness that defines your approach to gaming. Cash farming is what EA does best, and SimCity perpetuates the long-standing tradition.

You're paying EA to rent (not own) a copy of a badly broken game. You're paying to be constantly checked in upon to make sure you're not pirating or cheating or (worst of all) playing offline.

You can encourage this manipulation or you can go play something else. Your choice.",Cynically manipulative,1386806400,11,{'Format:': ' Video Game'},
1.0,True,"01 19, 2009",A3J3DQ2358SDIW,B000X418EU,A. Whitlow,"I did not like this game. The graphics were very good but I really didn't like the game itself. I found it very hard to handle the controller with the games I was playing. I just felt silly working the controller during the game play.

It was just...odd.

I tried it twice and then sold it.",Buy something else!,1232323200,3,,
1.0,True,"06 15, 2017",A2CAQQXMO6GUQM,B00RN7QTF8,madav1138,"Lasted over a year and buttons stopped responding. There was no solution found online, no driver suite to install. Will not reccomend.",Lasted over a year and buttons stopped responding. There ...,1497484800,,{'Color:': ' Nebulus'},
1.0,True,"04 9, 2013",A2UX76CO96BFX3,B002Z7BE3I,A. D. Neal,"I am a big fan of the Warhammer universe and thought that this would be an interesting tactical style strategy game, but after a long afternoon of fighting with this game I gave it up and don't intend on trying it again. The graphics are really poor (it would be ugly even for original Xbox generation systems) and yet the load screens take an annoying amount of time considering how rough the graphics are. The game mechanics might be fun for the original table top game but they don't transfer well into the console market and come across as clunky and at times downright infuriating. The result is that even simple matches take long drawn out hours to complete and rather than being fun end up being quite frustrating. As my title suggests, fans of the original game might really enjoy this adaptation but for the rest of us I would not recommend wasting your money on this pitiful title.","Only likely to be enjoyed by fans of the strategy game, and even then...",1365465600,,"{'Edition:': ' Standard', 'Platform:': ' Xbox 360'}",
1.0,True,"06 5, 2015",A1TUFY6K2OZSKJ,B00KME8K7O,Mahmoud M.,most  bored  games,most bored games,1433462400,,{'Format:': ' Video Game'},
1.0,False,"02 26, 2011",A36JEQTALJW1QN,B000G75AL6,frustrated user,"This is a terrible game.

The controls aren't well designed, partly because the game is mainly set in 2-D, but is also 3-D whenever it is most inconvenient. You are controlling a fleet of ships, but the controls aren't up to the task of controlling individual ships (which is frequently necessary). Commands to individual ships are often mysteriously forgotten. The A.I. for both the enemies and your own ships is quite poor. Tedious micromanaging is the norm.

The main voice acting is merely decent, while the secondary voice acting is dreadful due in no small part to muddled accents (father was Russian and mother was Scottish?). Even worse, dialog during combat is actively misleading with lines such as ""shields are down, captain!"" when all ships' shields are actually fine.

The space battles are dull affairs as you have so little control over the single ship you are managing at any given moment. On top of that, there seems to be no rhyme or reason as to the effectiveness of the weapons and shields. On many occasions I've found it necessary to retreat from an enemy who had hammered my ships, only to repair and return and find that same enemy is suddenly ridiculously weak and easy to destory.

Even at the ""easy"" setting, the difficulty of this game has nothing to do with the actual gameplay and everything to do with the how well or how poorly the mission is crafted to the controls and how random are the spawned enemy (be they ships, or asteroids, or even timed events). More than one mission (and you cannot skip a mission) is nothing more than tedious hours of repeating the mission until you are lucky enough to overcome the objectives.

Star Trek fan or not, avoid this game.",Tedious micromanagement with poor controls,1298678400,,,
1.0,True,"11 25, 2014",A1HCBVC8G15D5C,B0007U2CX6,Adam,"I ordered this because it said it was from Pelican Accessories. What i actually received was a generic adaptor. It charges my PSP, but it's incredibly deceptive that it was advertised specifically as a Pelican adaptor.  If I had known,  I would not have bought",Not the charger that is in the pic,1416873600,,,
1.0,False,"06 2, 2014",A2Q9CNJ4T6ZK99,B00JXCIT7M,Philip Brown,Can get this at Newegg for $329.00 and the packaging here is alittle off. Mine just arrived and the box was Red.,Looks Like We Have Gougers Again.,1401667200,42,,
1.0,True,"12 10, 2016",A1OVJFVVBW9XLA,B00AAS888S,Lincoln J. Thurber,Junk.  I cannot get Windows 10 to cooperate with this mouse at all.  The firmware for teh mouse tends to crash and/or Win 10 periodically pretends the mouse does not exist.  After three weeks of trying everything I gave up. I started using a $12 mouse again because ist was 1000x more reliable.,Junk. I cannot get Windows 10 to cooperate with ...,1481328000,,{'Style:': ' DeathAdder Chroma'},
1.0,True,"07 13, 2016",A1YNNMSD2VBOJ1,B00DDXILBQ,Jayson2112,"Should just rename this game Boring, Unimaginative Grind, because that is what it is.",What a dud,1468368000,,{'Format:': ' Video Game'},
1.0,False,"12 3, 2011",AU0DHTHT2GBS6,B005WWZUQ0,Yoda,Origin needs to go! and so does battlelog! I buy downloadable games on steam often I haven't bought a disk game in over two years but they always work on steam... Not on origin or battlelog... not sure where the real problem is but waiting 20+ minutes to connect to SINGLE player is insane to me. Same wait times apply to multiplayer. Occasionally I can get right into a game...after loading origin.. then battlelog then clicking play the game..Obviously if I opened the game I want to play it but anyway that little process only takes about one to two minutes. The real problem is trying to connect it is plagued with errors even after the patch to fix these problems customer support is a joke Very very disappointed big fan of battlefield and COD for many years.. Battlefield 3 looks amazing and is actually one of my favorite games to play online but for now im sticking to MW3 and Bad Company2 online with Steam. Huge disappointment 60$ to not be able to play a game isn't worth it to me. do yourself a a favor don't buy this game for PC.,Great game if you could play it!!,1322870400,10,"{'Edition:': ' Standard', 'Platform:': ' PC Download'}",
1.0,True,"02 19, 2015",A1GD4G5VRUT5R6,B00OQRU7HO,joseph a viera,box empty,One Star,1424304000,,{'Platform:': ' PlayStation 4'},
1.0,False,"07 8, 2015",A1MMSO3EYIBXG2,B00BGA9WK2,j. ramirez,I received the console about a month ago  when I first received it the console started over heating after 40 minutes of gaming that is the last time I buy an electronic from Amazon.,DONT BUY,1436313600,2,,
1.0,True,"07 17, 2014",A32G1YU5PKX7MJ,B000B69E9G,Sean,game didn't work,One Star,1405555200,,,
1.0,False,"01 17, 2014",A2I93OMO3ND10J,B00D4WTO1M,Murph,"Well I have been a long time Call of Duty fan, so when I got my PS4 this was my first game.  The frame rate was horrible and the game constantly froze.  It was totally unplayable while all my other games had no issues.  I ended up returning this and getting Battlefield 4, which for all of its bugs works about 100 times better on my console.  Who knows maybe it was a bad cut of the game I got but looking online I wasn't alone.",Bad frame rate on PS4 ended up returning for Battlefield,1389916800,,{'Format:': ' Video Game'},
1.0,True,"09 23, 2012",A6VG04A8TN0JE,B0054INKOG,kevin bg,"El Shaddai gripped me with its visuals in the first trailers I saw of it. Unfortunately after playing it in its entirety I can say its visuals were all it boasted, for after an hour of playing it became clear that his extremely linear adventure was also going to prove to be formulaic to a fault. The game was essentially: Linear path> Circle area> Enemies spawn> Repeat>Repeat> Repeat> Boss. The one variation is when an area is 2d platform style, though the path remains linear. Other than that it is literally all the same.
The story could have been good, but there is no pacing and no development and thus it falls flat and is forgettable. The combat consists of one attack button and one block button resulting in no depth to the hours of monotonous combat that you will be forced to trudge through.

Pros:
Beautiful imagery that changes throughout the game and stays rather fresh.

Cons:
Repetitive level design
Excessive combat with a simple and boring combat system.
Lazily constructed story giving no urgency to the gameplay","Lures you in, then bores you",1348358400,,{'Platform:': ' PlayStation 3'},
1.0,True,"03 21, 2018",A14B7IRHN5Z8ON,B00000DMAX,Michael,Game keeps locking up during the first race,Not satisfied,1521590400,,{'Format:': ' Video Game'},
